Date,Close/Last,Volume,Open,High,Low
01/30/2026,444.95,86593520,466.245,470.06,430.80
01/29/2026,495.90,69970860,509.51,509.70,468.51
01/28/2026,494.56,44154580,483.39,495.88,481.2501
01/27/2026,476.10,28386220,465.07,476.49,463.95
01/26/2026,464.70,34155970,466.78,469.28,460.36
01/23/2026,458.00,21531870,454.11,458.75,453.45
01/22/2026,451.79,19251190,443.84,452.9841,443.56
01/21/2026,443.60,38830230,446.87,447.9999,437.11
01/20/2026,437.23,21308140,436.69,438.1399,434.10
01/16/2026,421.29,20951570,422.80,424.80,417.04
01/15/2026,423.33,14253250,423.02,425.06,422.79
01/14/2026,425.94,18305540,426.03,426.86,422.8398
01/13/2026,421.63,16681220,424.59,426.12,420.07
01/12/2026,422.23,20904130,421.52,425.74,421.52
01/09/2026,414.47,14011240,413.215,415.29,411.80
01/08/2026,411.49,8705926,406.965,411.64,406.40
01/07/2026,409.23,10589450,408.63,410.81,406.65
01/06/2026,413.18,11640910,410.67,413.48,410.31
01/05/2026,408.76,13410640,406.39,409.72,406.15
01/02/2026,398.28,10372570,401.62,401.82,396.25
12/31/2025,396.31,10194740,398.60,400.13,395.59
12/30/2025,398.89,10179030,403.60,403.80,398.56
12/29/2025,398.60,20679240,403.66,403.76,395.33
12/26/2025,416.74,10476230,416.48,418.45,414.75
12/24/2025,411.93,6718437,412.25,412.63,408.83
12/23/2025,413.64,13193260,410.30,413.76,407.10
12/22/2025,408.23,14202070,406.98,408.52,405.72
12/19/2025,399.02,9894767,397.92,400.63,397.17
12/18/2025,398.57,11837550,398.28,402.21,396.05
12/17/2025,399.29,10456890,398.08,399.98,397.25
12/16/2025,395.89,9201557,397.75,398.71,394.59
12/15/2025,395.80,11345030,397.76,398.71,394.0738
12/12/2025,395.44,16792060,399.155,400.39,391.47
12/11/2025,393.24,11240630,389.02,394.09,388.50
12/10/2025,389.05,9120475,385.95,389.76,384.50
12/09/2025,387.40,6358694,385.62,388.21,385.27
12/08/2025,385.42,6822119,387.02,387.2418,384.01
12/05/2025,386.44,9449808,389.12,391.735,386.175
12/04/2025,387.13,6754434,386.92,388.00,385.40
12/03/2025,386.88,7886793,388.46,390.1293,385.83
12/02/2025,387.24,8103923,388.87,388.98,382.9103
12/01/2025,389.75,11177070,390.61,390.7001,388.0605
11/28/2025,387.88,7175407,385.98,388.00,384.99
11/26/2025,383.12,9184071,381.055,383.775,380.46
11/25/2025,380.08,10462810,380.255,382.52,378.06
11/24/2025,380.20,10085320,374.88,380.28,374.19
11/21/2025,374.27,13194560,374.025,377.23,372.94
11/20/2025,374.85,10506550,375.29,377.6925,371.8514
11/19/2025,374.96,10980420,377.775,380.17,373.03
11/18/2025,374.35,7818783,374.832,375.54,371.62
11/17/2025,371.65,13295250,374.035,375.4553,368.52
11/14/2025,375.96,15198030,372.87,378.20,370.89
11/13/2025,382.87,15867870,387.29,388.18,381.21
11/12/2025,385.99,16203720,380.07,387.46,379.44
11/11/2025,379.87,10753180,379.98,380.40,376.87
11/10/2025,378.38,13456210,375.93,378.66,374.7814
11/07/2025,368.31,11060360,367.94,370.42,366.42
11/06/2025,366.07,6891096,367.16,368.18,364.70
11/05/2025,366.51,8357300,366.39,367.10,364.65
11/04/2025,362.32,11540060,363.48,365.74,361.39
11/03/2025,368.78,7254265,368.91,370.84,367.54
10/31/2025,368.12,11077910,370.47,370.6625,365.50
10/30/2025,370.13,14812750,365.09,370.36,364.50
10/29/2025,363.00,18891850,369.65,370.08,361.3601
10/28/2025,364.38,19257590,361.81,365.30,360.12
10/27/2025,367.01,23657600,371.13,371.59,365.34
10/24/2025,377.52,13263800,378.51,380.77,376.81
10/23/2025,378.79,13695500,381.46,382.25,378.65
10/22/2025,377.28,30524130,372.75,378.47,368.93
10/21/2025,377.24,54101420,386.54,388.89,375.65
10/20/2025,403.15,34523020,397.45,403.30,394.20
10/17/2025,388.99,62024970,397.14,397.28,385.22
10/16/2025,396.45,33621440,391.15,396.87,390.40
10/15/2025,387.39,20598320,385.93,387.755,384.59
10/14/2025,380.79,18409630,378.21,382.38,377.90
10/13/2025,378.09,18514420,376.50,378.86,375.5797
10/10/2025,369.12,24192780,367.54,370.31,365.44
10/09/2025,365.43,33674820,373.135,373.22,362.83
10/08/2025,372.30,28052280,371.65,373.57,370.50
10/07/2025,366.26,16836770,366.508,367.27,364.55
10/06/2025,364.38,17093660,362.16,365.30,361.37
10/03/2025,357.64,14463960,357.12,358.14,355.80
10/02/2025,354.79,16162050,358.26,358.67,351.40
10/01/2025,356.03,15573610,356.17,356.9722,354.79
09/30/2025,355.47,13312350,351.13,355.57,350.865
09/29/2025,352.46,15719620,351.79,352.8305,351.28
09/26/2025,346.74,11698210,345.83,348.25,345.314
09/25/2025,344.75,12639580,344.39,345.83,342.47
09/24/2025,343.32,12709070,346.70,346.8299,342.14
09/23/2025,346.46,18383980,348.23,348.75,345.32
09/22/2025,345.05,12386420,342.75,345.07,341.84
09/19/2025,339.18,14982570,336.51,339.23,336.3119
09/18/2025,335.62,14913270,336.22,336.32,333.81
09/17/2025,336.97,16535310,338.53,341.24,335.52
09/16/2025,339.59,12161530,340.09,340.88,338.62
09/15/2025,338.91,10569880,336.31,339.28,336.23
09/12/2025,335.42,9619709,335.88,336.39,335.23
09/11/2025,334.76,9082647,333.37,335.1619,332.97
09/10/2025,335.26,11945670,335.73,336.50,326.19
09/09/2025,334.06,21641940,337.03,338.31,333.85
