Date,Close/Last,Volume,Open,High,Low
10/09/2025,617.10,5898496,619.23,619.59,615.28
10/08/2025,618.77,5035243,616.215,618.90,615.4642
10/07/2025,615.20,7466277,618.30,618.7393,613.82
10/06/2025,617.40,6056437,617.46,618.28,615.48
10/03/2025,615.30,7210689,615.95,618.42,614.288
10/02/2025,615.25,7139472,616.41,616.48,613.02
10/01/2025,614.57,10019980,609.70,615.39,609.57
09/30/2025,612.38,6515666,609.43,612.86,608.27
09/29/2025,610.13,5658835,610.79,611.68,608.48
09/26/2025,610.16,6438634,608.03,610.70,606.565
09/25/2025,606.59,6965655,606.62,607.93,603.35
09/24/2025,609.50,23787300,612.63,612.74,608.19
09/23/2025,611.54,10753000,614.705,615.26,610.341
09/22/2025,614.76,11583810,610.52,615.22,610.51
09/19/2025,611.78,6065655,610.62,612.67,608.85
09/18/2025,608.94,11057540,608.55,611.31,607.07
09/17/2025,606.09,11613630,606.84,608.33,601.55
09/16/2025,606.79,6393185,608.16,608.42,606.0609
09/15/2025,607.59,7710693,606.47,607.77,606.20
09/12/2025,604.44,8130498,604.59,605.98,603.95
09/11/2025,604.57,9109717,601.43,605.23,600.89
09/10/2025,599.68,21641070,600.92,601.75,598.16
09/09/2025,597.95,7844787,596.61,598.37,595.01
09/08/2025,596.50,9472235,596.31,597.41,595.03
09/05/2025,594.96,6641512,598.91,599.60,591.45
09/04/2025,596.59,8045575,592.47,596.77,591.60
09/03/2025,591.72,8205922,590.81,592.23,588.78
09/02/2025,588.71,11116700,586.06,588.80,583.67
08/29/2025,593.08,7512032,595.24,595.55,591.245
08/28/2025,596.52,5058689,595.07,597.07,593.27
08/27/2025,594.42,6171422,592.52,595.14,592.44
08/26/2025,593.06,4776577,590.38,593.43,589.795
08/25/2025,590.70,6483035,592.05,593.2299,590.55
08/22/2025,593.21,6389278,586.27,594.32,585.84
08/21/2025,584.27,4807277,584.93,586.46,582.65
08/20/2025,586.58,7113572,587.81,588.00,581.85
08/19/2025,588.13,6739284,591.25,592.12,586.94
08/18/2025,591.36,5311743,590.98,592.02,590.35
08/15/2025,591.57,7196315,593.86,593.95,590.66
08/14/2025,592.85,6236666,590.92,593.51,590.50
08/13/2025,592.84,5392973,592.86,594.03,590.81
08/12/2025,590.78,5874245,586.75,590.96,585.435
08/11/2025,584.54,5373949,586.03,587.36,583.44
08/08/2025,585.74,4342341,582.93,586.17,582.60
08/07/2025,581.29,4594260,584.87,585.52,578.3127
08/06/2025,581.64,4545015,578.25,582.27,577.41
08/05/2025,577.35,4647381,580.79,581.50,576.40
08/04/2025,580.14,6640089,575.17,580.21,575.08
08/01/2025,571.45,8781254,575.73,575.74,569.29
07/31/2025,581.02,7046843,587.83,588.1614,579.84
07/30/2025,583.21,6974729,584.66,586.15,580.55
07/29/2025,583.92,5053447,586.82,587.08,583.12
07/28/2025,585.44,4193101,586.04,586.50,584.24
07/25/2025,585.58,4210090,583.81,586.04,583.59
07/24/2025,583.26,3840901,583.34,584.75,582.72
07/23/2025,582.86,4257345,580.57,582.96,578.87
07/22/2025,577.95,4767703,578.28,578.84,575.64
07/21/2025,577.95,5913837,577.98,580.53,577.59
07/18/2025,576.92,4262378,578.47,578.50,575.84
07/17/2025,577.18,6495346,574.02,577.65,573.80
07/16/2025,573.74,6141184,573.40,574.26,568.17
07/15/2025,571.86,5398956,576.85,577.16,571.85
07/14/2025,574.35,4747041,572.85,574.679,571.58
07/11/2025,573.22,4428852,572.45,574.3757,571.37
07/10/2025,575.29,4961691,573.78,576.26,572.70
07/09/2025,573.61,7156477,572.46,574.26,570.76
07/08/2025,570.23,6944624,571.15,571.83,569.48
07/07/2025,570.61,6417829,573.00,573.59,567.98
07/03/2025,575.22,4836962,572.18,575.67,572.13
07/02/2025,570.29,6164018,567.37,570.34,566.81
07/01/2025,567.77,7412742,566.56,568.80,565.80
06/30/2025,568.03,5750571,567.50,569.15,565.375
06/27/2025,566.95,6056524,565.11,568.33,563.21
06/26/2025,564.15,6081444,561.52,564.55,560.96
06/25/2025,559.72,16472310,560.52,561.02,558.34
06/24/2025,559.44,6770036,557.18,560.43,556.37
06/23/2025,553.36,9820188,548.66,553.70,545.75
06/20/2025,547.72,9978477,551.72,552.72,546.62
06/18/2025,549.24,4602329,550.16,552.71,548.39
06/17/2025,549.35,4753344,551.79,553.16,548.635
06/16/2025,554.07,7421327,551.94,555.69,551.87
06/13/2025,548.77,7100626,550.24,553.245,547.41
06/12/2025,554.95,8422943,551.60,555.00,551.1322
06/11/2025,552.86,20800560,555.41,556.225,550.91
06/10/2025,554.39,5984087,551.78,554.74,550.74
06/09/2025,551.25,4516381,551.30,552.70,550.20
06/06/2025,550.66,4735972,550.30,552.32,548.6999
06/05/2025,545.09,6387510,549.48,550.63,543.3375
06/04/2025,547.65,4543355,548.75,549.65,547.4426
06/03/2025,548.00,4993615,544.53,548.87,544.09
06/02/2025,544.91,5933526,540.25,544.91,537.80
05/30/2025,541.76,6171491,541.35,543.39,536.16
05/29/2025,542.32,4668939,545.15,545.28,538.74
05/28/2025,540.24,4910507,543.79,544.90,539.61
05/27/2025,543.34,6118091,538.72,543.52,537.18
05/23/2025,532.40,6455875,529.43,534.8099,529.11
05/22/2025,536.02,5816572,535.60,539.225,534.44
05/21/2025,535.77,6339491,540.91,544.6905,534.82
05/20/2025,544.88,7158205,545.22,546.06,541.99
05/19/2025,546.82,7766058,540.63,547.45,540.58
05/16/2025,546.26,7255342,543.47,546.47,541.70
05/15/2025,542.76,7362193,538.26,543.2489,537.84
05/14/2025,540.11,5031301,540.37,541.42,538.24
05/13/2025,539.44,7356804,536.33,541.48,535.78
05/12/2025,535.92,7793576,534.50,535.92,530.39
05/09/2025,518.65,4739506,520.69,521.6306,517.36
05/08/2025,519.34,5088200,519.54,524.23,516.345
05/07/2025,515.90,5467344,514.92,518.18,511.10
05/06/2025,513.58,4694270,512.89,517.825,511.94
05/05/2025,517.99,4793497,517.08,520.85,516.27
05/02/2025,520.71,6285390,519.12,522.41,516.89
05/01/2025,513.35,5784483,515.13,518.44,512.77
04/30/2025,509.74,7873686,503.26,511.50,497.76
04/29/2025,509.49,6525457,504.54,510.5497,504.26
04/28/2025,506.42,4210016,506.81,508.74,500.96
04/25/2025,506.11,6933423,502.44,506.52,499.75
04/24/2025,502.41,6184333,493.26,503.00,492.2231
04/23/2025,492.07,8047601,496.69,501.18,490.70
04/22/2025,484.29,6236319,478.07,486.48,477.19
04/21/2025,472.37,7762501,479.02,479.49,467.33
04/17/2025,483.90,5638939,484.79,488.16,481.50
04/16/2025,483.23,6374869,488.65,491.765,478.23
04/15/2025,494.09,8200583,496.03,499.27,493.42
04/14/2025,495.48,7701488,500.05,500.26,490.69
04/11/2025,490.55,11541200,480.69,493.00,478.00
04/10/2025,482.06,16651300,489.15,490.30,468.33
04/09/2025,499.10,29286590,453.49,502.0612,453.16
04/08/2025,456.74,19002680,479.68,482.49,449.60
04/07/2025,463.56,31285270,449.54,480.76,442.80
04/04/2025,465.52,30966510,481.28,483.30,464.24
04/03/2025,494.16,16226020,501.00,503.66,493.50
04/02/2025,518.91,6308643,510.14,521.49,509.9298
04/01/2025,515.80,7697017,512.36,517.35,508.88
03/31/2025,513.91,8196668,505.31,515.33,502.64
03/28/2025,510.80,5831793,519.76,520.46,510.16
03/27/2025,521.21,5534928,521.29,524.678,519.23
03/26/2025,524.46,4429626,530.56,531.41,523.10
03/25/2025,530.65,6260199,530.59,531.60,529.11
03/24/2025,529.39,22376270,526.48,530.39,525.88
03/21/2025,520.26,5059011,515.79,520.95,514.655
03/20/2025,520.13,6029737,517.96,524.615,517.32
03/19/2025,521.33,5373949,517.54,524.96,516.4191
03/18/2025,515.91,6010598,519.32,519.52,514.0708
03/17/2025,521.41,6269843,517.45,523.84,517.08
03/14/2025,517.46,7412261,511.28,518.42,510.84
03/13/2025,507.05,21650000,513.51,514.06,505.42
03/12/2025,513.76,8590555,516.89,517.74,509.10
03/11/2025,511.28,11208910,514.33,517.5299,507.53
03/10/2025,515.51,11176890,521.90,523.70,510.83
03/07/2025,529.51,7308280,524.90,530.88,520.13
03/06/2025,526.67,7228926,529.19,533.43,524.22
03/05/2025,536.40,6221745,530.25,537.7901,526.93
03/04/2025,530.45,10477440,533.06,538.2799,526.16
03/03/2025,536.92,7289998,548.20,549.29,533.251
02/28/2025,546.33,7328051,538.42,546.89,535.58
02/27/2025,537.97,5521351,548.83,549.88,537.60
02/26/2025,546.75,4180803,548.01,551.345,544.25
02/25/2025,546.41,5491494,549.18,549.77,542.1684
02/24/2025,549.14,4772255,553.61,554.51,548.5133
02/21/2025,551.75,6148694,561.10,561.20,551.265
02/20/2025,561.30,4446782,562.39,562.4845,558.22
02/19/2025,563.67,3857561,561.02,563.92,560.531
02/18/2025,562.31,3844905,561.80,562.31,559.49
02/14/2025,560.69,3380570,560.90,561.86,560.07
02/13/2025,560.67,3388498,555.87,560.88,554.695
02/12/2025,554.81,3579483,551.00,555.915,550.39
02/11/2025,556.65,2752923,554.10,557.115,553.99
02/10/2025,556.15,3517552,555.44,556.7755,554.24
02/07/2025,552.20,10161550,558.10,559.20,551.795
02/06/2025,557.62,3606299,557.29,557.65,554.19
02/05/2025,555.62,3424184,552.34,555.73,550.41
02/04/2025,553.35,4181413,549.70,553.83,549.23
02/03/2025,549.70,7824037,544.99,551.9599,542.98
01/31/2025,553.33,6243322,558.62,560.89,552.71
01/30/2025,556.30,4296538,555.37,557.78,552.38
01/29/2025,553.41,4174471,555.17,555.50,550.9701
01/28/2025,555.85,4164674,552.30,556.65,549.22
01/27/2025,551.23,7617385,546.93,551.39,546.83
01/24/2025,559.01,3612141,560.76,561.66,558.02
01/23/2025,560.70,6217878,557.04,560.70,556.80
01/22/2025,557.61,4780036,557.19,558.9299,556.73
01/21/2025,554.46,5301678,552.32,554.46,550.50
01/17/2025,549.46,6558651,548.92,551.12,547.68
01/16/2025,544.24,3632752,546.35,546.51,543.39
01/15/2025,545.05,5307318,542.84,546.13,541.76
01/14/2025,535.26,8820003,537.32,537.9064,531.8149
01/13/2025,534.58,5621011,529.40,534.91,529.02
01/10/2025,533.89,7935202,538.71,538.75,532.00
01/08/2025,542.14,4316999,541.32,543.00,538.08
01/07/2025,541.41,5383235,549.32,549.60,539.56
01/06/2025,547.57,5983435,548.28,551.43,545.82
01/03/2025,544.40,6419663,540.19,544.88,539.20
01/02/2025,537.46,7142698,542.02,543.5399,533.795
12/31/2024,538.81,6040750,542.45,543.0651,537.4001
12/30/2024,540.99,6505089,540.56,544.09,537.40
12/27/2024,547.08,7077135,549.37,549.62,543.2001
12/26/2024,552.81,4496268,551.20,553.97,549.9201
12/24/2024,552.82,3439250,548.06,552.90,547.54
12/23/2024,547.19,7063355,543.31,547.36,540.32
12/20/2024,545.04,9389413,536.61,549.54,535.85
12/19/2024,538.94,16792130,543.69,545.10,538.65
12/18/2024,539.14,24584930,555.30,557.53,538.53
12/17/2024,555.45,6110880,555.47,556.385,554.29
12/16/2024,557.79,22846780,557.13,558.7983,556.415
12/13/2024,555.61,4666863,557.51,558.16,554.2044
12/12/2024,555.65,4048602,557.67,558.20,555.62
12/11/2024,558.53,3514417,556.92,559.39,556.66
12/10/2024,554.33,4110113,556.58,556.88,553.57
12/09/2024,555.91,4412276,558.71,558.865,555.38
12/06/2024,558.82,5134880,558.47,559.96,558.08
12/05/2024,557.71,3021561,558.63,559.41,557.46
12/04/2024,558.64,5490321,556.83,558.88,556.171
12/03/2024,555.14,4202906,554.80,555.4301,553.79
12/02/2024,555.01,5441011,554.36,555.57,553.89
11/29/2024,553.45,3988727,551.29,554.70,551.07
11/27/2024,550.55,3312219,552.04,552.38,549.11
11/26/2024,552.31,4438574,550.50,552.8199,549.85
11/25/2024,549.23,4305001,551.20,552.38,547.1999
11/22/2024,547.47,5574588,545.82,548.0496,545.37
11/21/2024,545.64,4530619,545.58,547.07,540.04
11/20/2024,542.90,3949060,542.78,543.07,537.44
11/19/2024,542.70,6978373,537.50,543.37,536.90
11/18/2024,540.73,4504246,538.92,541.93,538.145
11/15/2024,538.50,7360114,542.13,542.57,536.75
11/14/2024,545.54,3940282,549.10,549.57,544.88
11/13/2024,549.03,3701570,549.16,550.88,546.97
11/12/2024,548.75,4818613,550.39,550.94,546.43
11/11/2024,550.40,4893129,551.43,551.73,548.85
11/08/2024,549.95,6797976,548.07,551.24,548.06
11/07/2024,547.53,6051276,545.22,548.475,545.15
11/06/2024,543.30,7483337,541.65,544.14,538.17
11/05/2024,530.10,3300279,524.72,530.17,524.48
11/04/2024,523.80,3681461,525.06,526.28,522.0301
11/01/2024,524.94,6106942,525.16,529.08,524.5401
10/31/2024,522.67,7972774,529.09,529.23,522.51
10/30/2024,533.16,3067015,534.35,536.20,532.59
10/29/2024,534.77,3027611,533.12,535.82,531.75
10/28/2024,533.92,3407971,535.53,535.57,533.6708
10/25/2024,532.26,4327190,534.65,537.2601,531.414
10/24/2024,532.47,4477762,533.17,533.18,530.04
10/23/2024,531.27,5227754,534.28,534.72,528.02
10/22/2024,536.16,3366595,534.11,537.28,533.47
10/21/2024,536.53,3671431,536.72,537.61,533.71
10/18/2024,537.36,5070412,536.90,538.10,535.56
10/17/2024,535.30,3225297,538.62,538.76,535.15
10/16/2024,535.22,3237216,532.93,535.73,532.215
10/15/2024,532.98,4811330,537.38,537.61,531.82
10/14/2024,537.07,2638929,534.25,537.98,533.97
10/11/2024,532.71,5429168,529.50,533.43,529.39
10/10/2024,529.56,3637633,529.27,530.90,528.09
10/09/2024,530.45,2941785,526.87,531.03,526.31
10/08/2024,526.85,2626667,524.32,527.38,523.50
10/07/2024,521.91,3970505,525.14,525.7201,520.81
10/04/2024,526.65,5358175,526.16,527.02,522.30
10/03/2024,521.84,4007952,521.56,523.755,519.82
10/02/2024,522.83,3270583,521.85,523.85,519.5801
10/01/2024,522.74,9198657,527.04,527.10,520.23
09/30/2024,527.67,8017349,524.32,527.955,522.19
09/27/2024,525.38,5598594,527.09,527.77,524.32
09/26/2024,527.70,5273915,529.67,529.92,525.49
09/25/2024,525.61,35418050,526.61,527.30,524.65
09/24/2024,526.68,4650608,526.01,526.84,523.38
09/23/2024,525.17,29289160,525.00,525.83,523.83
09/20/2024,523.88,5612678,523.51,524.92,521.12
09/19/2024,524.91,5558371,524.88,526.60,522.19
09/18/2024,515.91,6921278,518.18,522.73,515.47
09/17/2024,517.59,8149957,519.44,520.735,515.50
09/16/2024,517.35,4256253,516.34,517.59,514.65
09/13/2024,516.57,4416641,514.43,517.53,514.23
09/12/2024,513.84,4099538,510.09,514.1398,508.06
09/11/2024,509.46,4945832,504.31,510.44,496.25
09/10/2024,504.30,2975385,503.95,504.705,499.4997
09/09/2024,502.23,3656797,500.60,503.37,498.75
09/06/2024,496.64,7411439,505.34,506.94,495.80
09/05/2024,505.05,3425569,506.36,508.94,502.84
09/04/2024,506.30,3601373,505.68,509.53,505.02
09/03/2024,507.56,5866441,515.12,515.43,505.10
08/30/2024,518.04,5637725,515.42,518.58,512.12
08/29/2024,513.21,3487145,514.99,518.09,512.13
08/28/2024,513.13,3940428,515.80,516.23,510.16
08/27/2024,516.08,3031778,514.26,516.59,513.16
08/26/2024,515.39,3398640,517.64,518.29,513.875
08/23/2024,516.66,5102791,514.33,517.55,512.2521
08/22/2024,511.13,3677087,517.05,517.63,510.10
08/21/2024,515.30,3344050,514.47,516.6599,512.85
08/20/2024,513.50,3155981,513.92,515.4799,512.25
08/19/2024,514.35,3804313,509.86,514.35,509.06
08/16/2024,509.45,3449286,506.84,510.11,506.65
08/15/2024,508.38,4278953,505.09,508.59,504.4857
08/14/2024,499.80,3700503,498.92,500.85,496.478
08/13/2024,498.21,3247887,493.14,498.38,492.92
08/12/2024,490.07,3578134,490.94,492.35,487.98
08/09/2024,489.82,7661331,486.93,491.21,485.82
08/08/2024,487.73,4177234,481.49,488.27,479.64
08/07/2024,476.61,5976351,485.70,488.55,476.11
08/06/2024,479.94,8255040,477.39,486.86,475.94
08/05/2024,475.20,15244280,470.17,481.18,468.89
08/02/2024,489.91,8561166,492.41,493.52,485.80
08/01/2024,499.03,6939217,507.84,509.90,495.75
07/31/2024,505.93,5367587,504.48,508.6532,503.305
07/30/2024,498.08,3817800,502.05,503.01,494.915
07/29/2024,500.70,3096178,501.82,502.765,498.7746
07/26/2024,500.33,3635984,498.36,502.885,497.67
07/25/2024,494.78,5646601,497.55,503.14,493.92
07/24/2024,497.29,6157402,504.43,504.70,496.545
07/23/2024,508.94,3116045,509.66,511.65,508.49
07/22/2024,509.79,4342929,508.27,510.32,506.44
07/19/2024,504.55,4039437,507.64,509.20,503.56
07/18/2024,507.94,5055850,513.25,514.19,505.871
07/17/2024,511.79,4984306,513.56,515.11,511.56
07/16/2024,519.04,4164300,517.33,519.40,516.60
07/15/2024,516.11,7771524,516.58,519.12,514.34
07/12/2024,514.55,5238170,512.49,518.03,512.17
07/11/2024,511.39,5546308,516.00,516.79,510.825
07/10/2024,515.81,3446923,511.98,516.185,511.69
07/09/2024,510.89,3145823,511.21,512.01,510.54
07/08/2024,510.33,3143379,510.50,511.205,509.32
07/05/2024,509.84,3156922,507.13,510.10,506.49
07/03/2024,506.81,2131086,504.22,507.14,504.22
07/02/2024,504.53,4210083,499.69,504.61,499.61
07/01/2024,501.28,4368526,501.49,501.6799,498.60
06/28/2024,500.13,5598571,502.97,505.73,499.01
06/27/2024,503.85,3619655,503.00,504.48,502.32
06/26/2024,503.07,3202700,501.47,503.77,500.89
06/25/2024,502.51,6336724,501.71,502.83,500.32
06/24/2024,500.43,7022844,502.03,504.4395,500.43
06/21/2024,501.78,4347838,502.10,503.2157,500.85
06/20/2024,502.88,4810867,505.14,505.74,501.19
06/18/2024,504.28,3431665,503.05,504.3552,502.63
06/17/2024,502.94,4609539,498.48,504.18,497.91
06/14/2024,498.98,5812046,497.26,499.04,496.29
06/13/2024,498.58,8808879,499.30,499.45,496.06
06/12/2024,497.64,3698787,497.93,500.15,496.71
06/11/2024,493.53,4028423,490.99,493.66,489.109
06/10/2024,492.41,3465222,490.17,492.69,489.56
06/07/2024,490.80,3063587,490.55,493.53,489.54
06/06/2024,491.44,21343960,491.84,492.18,489.6401
06/05/2024,491.55,3026146,487.87,491.55,486.06
06/04/2024,485.74,2560269,484.00,486.41,482.56
06/03/2024,485.15,4211256,486.30,486.41,480.40
05/31/2024,484.62,5333971,481.24,484.91,476.475
05/30/2024,480.44,3393589,482.12,482.7504,479.20
05/29/2024,483.69,5604961,483.19,484.68,482.96
05/28/2024,487.12,4034716,487.40,487.645,484.525
05/24/2024,486.73,2555241,485.18,487.40,484.33
05/23/2024,483.44,3811307,489.91,489.99,482.29
05/22/2024,487.06,3250581,487.79,488.43,484.94
05/21/2024,488.48,2453576,486.53,488.58,486.35
05/20/2024,487.17,2599585,486.78,488.6099,486.45
05/17/2024,486.69,3274035,486.09,486.73,484.70
05/16/2024,485.97,3347381,487.05,488.57,485.83
05/15/2024,486.90,4399485,483.34,487.23,482.735
05/14/2024,481.04,3257724,478.98,481.47,478.48
05/13/2024,478.77,3108442,480.35,480.42,477.73
05/10/2024,478.74,3347159,479.69,480.39,477.59
05/09/2024,478.15,3486049,475.59,478.15,474.94
05/08/2024,475.42,3214878,473.59,475.86,473.50
05/07/2024,475.40,3451302,475.70,476.64,474.71
05/06/2024,474.72,4782542,472.22,474.81,471.82
05/03/2024,469.98,4586859,469.76,471.00,467.4401
05/02/2024,464.22,3972424,463.36,464.95,459.16
05/01/2024,459.93,6115377,460.77,467.07,459.44
04/30/2024,461.43,4364836,467.42,468.34,461.36
04/29/2024,468.84,3253205,468.84,469.42,466.21
04/26/2024,467.21,4907113,465.33,468.63,464.81
04/25/2024,462.58,4876228,458.77,463.46,457.26
04/24/2024,464.50,7687837,465.57,466.31,462.44
04/23/2024,464.84,4257400,461.18,465.13,460.67
04/22/2024,459.05,5818088,457.55,461.7299,455.35
04/19/2024,455.10,9787454,458.99,459.94,453.90
04/18/2024,458.94,5637286,461.36,463.30,458.21
04/17/2024,459.99,7156229,465.11,465.24,458.73
04/16/2024,462.78,6761419,464.05,465.51,461.59
04/15/2024,463.61,9530044,473.47,473.59,462.85
04/12/2024,469.57,6959723,472.77,474.05,467.91
04/11/2024,476.06,5109901,473.98,477.43,470.67
04/10/2024,472.65,6933388,471.91,474.39,470.67
04/09/2024,477.27,5254191,478.38,478.60,472.74
04/08/2024,476.68,4736778,477.15,478.07,475.97
04/05/2024,476.49,5588160,472.85,478.33,472.42
04/04/2024,471.48,6871190,481.20,481.48,471.27
04/03/2024,477.36,6224812,475.84,478.802,475.79
04/02/2024,476.93,4817822,476.33,476.99,474.71
04/01/2024,480.07,5733960,481.44,481.96,478.83
03/28/2024,480.70,4065018,480.87,482.1598,480.5034
03/27/2024,480.76,4951429,479.51,480.87,477.45
03/26/2024,476.60,8073502,479.06,479.37,476.43
03/25/2024,477.94,6081277,477.73,478.79,477.55
03/22/2024,479.18,5881503,479.87,480.32,478.82
03/21/2024,481.35,5044680,482.62,483.235,481.21
03/20/2024,479.75,6179356,475.54,480.02,474.93
03/19/2024,475.60,4550248,472.20,475.74,471.29
03/18/2024,472.95,3939105,473.95,475.279,472.50
03/15/2024,470.01,6807087,470.41,471.7814,468.7201
03/14/2024,473.27,5152980,475.16,475.325,470.45
03/13/2024,474.31,3544526,475.31,475.47,472.90
03/12/2024,475.03,4811036,471.92,475.55,469.57
03/11/2024,470.00,5323866,469.20,470.455,467.39
03/08/2024,470.39,6285625,473.77,476.2994,469.82
03/07/2024,473.26,7149802,471.63,474.19,470.78
03/06/2024,468.62,5325050,469.25,470.66,467.3199
03/05/2024,466.15,4616503,468.95,469.38,464.06
03/04/2024,470.87,3970242,470.61,472.60,470.60
03/01/2024,471.43,4839421,467.83,471.77,467.43
02/29/2024,466.93,7332921,466.97,468.49,464.47
02/28/2024,465.21,2800602,464.49,465.83,464.11
02/27/2024,465.93,3586943,465.71,466.12,463.91
02/26/2024,465.07,3450804,467.19,467.59,464.94
02/23/2024,466.78,4050621,468.09,468.87,466.0907
02/22/2024,466.57,4328536,463.22,467.33,462.315
02/21/2024,456.97,4223078,455.32,457.12,453.60
02/20/2024,456.51,5306784,457.44,458.06,454.43
02/16/2024,459.03,5527893,461.08,462.15,458.40
02/15/2024,461.39,5695711,458.90,461.54,458.43
02/14/2024,458.29,5624009,456.575,458.67,454.40
02/13/2024,453.97,8152242,454.48,455.70,450.995
02/12/2024,460.46,4564233,460.61,462.74,459.75
02/09/2024,460.67,4002594,458.54,461.03,458.17
02/08/2024,458.07,4184592,457.81,458.33,457.03
02/07/2024,457.76,6763415,456.15,458.18,455.27
02/06/2024,454.03,4383601,453.58,454.29,452.21
02/05/2024,452.62,7101857,453.73,454.15,450.54
02/02/2024,454.28,6253482,450.01,455.88,449.69
02/01/2024,449.66,6138360,445.35,449.66,444.6502
01/31/2024,443.82,7108043,449.04,449.465,443.75
01/30/2024,451.17,3409953,450.84,451.81,450.44
01/29/2024,451.49,4543252,448.23,451.6098,447.7112
01/26/2024,448.23,6404023,448.10,449.51,447.16
01/25/2024,448.50,4167055,448.14,448.76,446.11
01/24/2024,445.99,4568204,448.32,449.1896,445.75
01/23/2024,445.62,3251586,444.83,445.82,443.78
01/22/2024,444.30,5870412,444.77,445.92,443.68
01/19/2024,443.29,4836802,439.00,443.61,438.31
01/18/2024,437.93,4331285,435.58,438.39,434.16
01/17/2024,434.07,6044611,433.60,434.48,431.81
01/16/2024,436.50,5730839,436.79,437.98,434.74
